Source ID,Name,Random_number, RA (deg),DEC (deg),parallax (mas),pmra(masyr),pmdec (mas(yr),phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,M_g,U (km/s),V (km/s),W (km/s),Ilabel (0=thin.1=thick.2=halo)
Gaia DR2 3135394712419214080,J073506.62+021913.8,936807925,113.7776125,2.320524334,12.32922695,85.55954417,-90.1508137,18.60278,18.934444,18.159143,0.775301,0.33166504,0.44363594,14.05745862,34.90377626,-25.09725717,19.6922921,0
Gaia DR2 5436426701125198208,J093826.93-370626.6,420564716,144.6121685,-36.89256412,14.04848198,-66.47306933,77.72468002,18.202585,18.39501,17.892378,0.50263214,0.19242477,0.31020737,13.94073221,-28.09371964,14.154206,10.50292487,0
Gaia DR2 441384687980605312,J032528.54+484203.2,173908257,51.36895109,48.70091024,10.10424034,113.355658,-8.048368564,19.686924,20.158712,19.08898,1.0697327,0.4717884,0.59794426,14.70944232,-21.54715066,-26.66946147,32.8589556,0
Gaia DR2 5683098905002132992,J092246.61-175643.1,1332929686,140.6942311,-16.05470664,12.63371955,-119.939887,-69.23467643,20.037193,20.575623,19.24776,1.3278618,0.53842926,0.7894325,15.54484946,-10.23156439,-4.681798554,-40.44016765,0
Gaia DR2 3291925615855244416,J045923.28+104032.5,1430062632,74.84699592,10.67574091,13.20934287,33.06737747,-131.6769368,18.943298,19.288254,18.33702,0.9512329,0.34495544,0.60627747,14.54770441,18.88158317,-33.756338,-9.009963056,0
Gaia DR2 2459216291354194432,J015501.37-145208.8,1562597511,28.75570762,-13.13089835,12.24413033,106.4922959,-132.1919371,19.525312,20.01174,18.707182,1.3045578,0.4864273,0.8181305,14.96495214,5.077680884,-55.05951508,3.775423201,0
Gaia DR2 2563779572277485056,J011139.41+042742.8,1612909365,17.91415943,4.461902749,15.01423964,27.33495467,-145.7410611,18.019432,18.257298,17.548712,0.70858574,0.23786545,0.4707203,13.90194878,20.02077723,-27.44047676,-16.91582129,0
Gaia DR2 6428770481026984832,J195548.14-652546.6,1636689052,298.9505764,-64.57044211,10.52181926,55.87122233,-53.26019513,17.565474,17.557182,17.46836,0.08882141,-0.008291245,0.097112656,12.67592774,-16.85357359,-5.252019649,-14.3782831,0
Gaia DR2 1448881864114808448,J133205.54+274004.4,693905069,203.0230583,27.66788379,13.93564219,-100.3397124,41.98059192,17.188011,17.21479,17.004543,0.21024704,0.026779175,0.18346786,12.9086461,-29.42552501,1.339468812,11.81860312,0
Gaia DR2 5074787087547474304,J030143.80-251650.9,1078145112,45.43250696,-24.71923478,12.49280965,107.8889996,-60.91821308,19.718111,20.169315,19.027681,1.141634,0.4512043,0.6904297,15.20141165,-0.946019388,-32.5648176,23.79140397,0
Gaia DR2 2518822538978075904,J020215.34+044331.8,707774916,30.56393047,4.725541494,16.26779336,152.7635676,59.38742834,16.254309,16.30921,16.113405,0.1958046,0.054901123,0.14090347,12.31095194,-33.88219489,-5.036728118,27.62168075,0
Gaia DR2 4650454974531002624,J053831.66-730025.2,472519328,84.63185825,-72.99302934,12.36518165,51.05605227,83.36957905,18.584063,18.806637,18.210878,0.59575844,0.22257423,0.3731842,14.04506508,-25.78925466,-4.984060308,18.80058643,0
Gaia DR2 303637562009656704,J014511.62+313241.3,1179986127,26.2983601,31.54480162,27.85052707,312.2102797,-147.0074682,14.762349,14.8298855,14.59293,0.23695564,0.067536354,0.16941929,11.98651527,-29.71268059,-34.93701146,-3.56374067,0
Gaia DR2 2345262597013985792,J005142.91-262652.1,948569019,12.92881437,-25.55219547,11.30221687,-92.95588956,-86.12518864,19.483303,19.941528,18.86162,1.0799084,0.45822525,0.6216831,14.74912125,58.35951855,1.516317631,5.464455116,0
Gaia DR2 401316766273630208,J010519.06+471216.9,72847950,16.3294277,47.20475398,10.25898762,-67.65623227,-16.09462903,19.831972,20.155563,19.391695,0.76386833,0.32359123,0.4402771,14.88749465,32.53969059,26.41994606,-2.335991086,0
Gaia DR2 610906974133485056,J090555.68+162508.0,786294128,136.4819854,16.41885673,19.97143436,-93.33717377,-156.0518473,19.11476,19.587229,18.369896,1.2173328,0.47246933,0.7448635,15.61680573,2.440955503,-22.50827466,-20.96103829,0
Gaia DR2 5605109553114516352,J071417.38-324325.3,567146645,108.5724024,-31.27632543,16.56843219,-17.84403736,-167.6247786,18.44617,18.86684,17.925423,0.9414177,0.42066956,0.52074814,14.54257788,44.3274307,-3.933640924,-18.91841153,0
Gaia DR2 5451828355066551680,J110541.11-322931.2,1225880428,166.4212868,-31.50794796,21.15140394,-189.6024865,43.33557671,16.222813,16.31743,16.009415,0.30801582,0.09461784,0.21339798,12.84950865,-35.4031383,0.372574492,-2.517661468,0
Gaia DR2 2645449715440904960,J232914.14+004708.9,168727759,352.308946,0.785767995,14.62129331,73.84835843,-108.2003965,18.250168,18.517387,17.822252,0.6951351,0.26721954,0.42791557,14.07509679,2.101208088,-24.30988428,-17.37609578,0
Gaia DR2 6074160144070053504,J125212.24-540713.1,777464743,193.0510385,-53.87970788,24.56848775,-283.7082808,-18.31553568,18.064346,18.561764,17.371078,1.1906853,0.49741745,0.6932678,15.01623844,-39.60836148,-19.69893755,3.172312189,0
Gaia DR2 1956112657053495296,J220214.16+384843.6,44733023,330.5590272,38.81210564,18.92697279,180.2568666,41.25008845,15.957925,16.005247,15.821366,0.1838808,0.047322273,0.13655853,12.34332968,-35.92529465,5.886594255,-12.60927284,0
Gaia DR2 4095109140434025088,J180700.26-201336.5,1216122984,271.7510741,-19.77316152,11.70211457,-48.35296078,-75.17637695,19.197,19.393274,18.659826,0.733448,0.1962738,0.5371742,14.53832223,12.4860582,-24.95159446,8.772002285,0
Gaia DR2 2059410159588282368,J195824.43+353502.4,1128814790,299.601828,35.584026,10.12451247,76.22984897,59.67407423,16.553837,16.508745,16.59314,-0.084394455,-0.04509163,-0.039302826,11.58070742,-34.00387622,24.80862657,-9.389778482,0
Gaia DR2 4021565827014024576,J114556.50+314926.8,622015581,176.4853452,31.82406237,31.90931617,-153.9077321,-262.5019228,13.730346,13.645546,13.841723,-0.19617748,-0.08479977,-0.111377716,11.24993417,2.046852812,-34.31380164,3.213602653,0
Gaia DR2 695630598526264960,J091935.95+284047.6,1670534816,139.8997778,28.67987653,12.07136737,8.26579804,-131.8430371,19.052927,19.3937,18.427372,0.96632767,0.34077263,0.62555504,14.46170935,17.32453269,-39.77079702,1.414726264,0
Gaia DR2 3875652014008894720,J101502.30+080638.2,374528515,153.7596199,8.110622783,33.76253435,-288.4353031,163.9043011,15.932307,16.141937,15.547173,0.5947647,0.20963001,0.3851347,13.57448339,-36.63994574,22.38539178,-8.08539574,0
Gaia DR2 6420280292757129344,J190741.93-712902.8,736998367,286.9247142,-70.51590751,10.04718175,-74.89724697,-65.05769581,19.648003,20.003542,19.046488,0.95705414,0.35553932,0.6015148,14.65822392,-1.924187109,-25.65439891,35.0292044,0
Gaia DR2 2850852678081870208,J234732.14+223131.4,226700161,356.8838567,22.5253966,12.04763252,-78.75194746,-57.12029763,18.787434,19.053917,18.396019,0.65789795,0.2664833,0.39141464,14.19194219,43.10034876,12.47961081,-2.743563159,0
Gaia DR2 2350826847404607616,J004301.49-214751.7,336075841,10.75615917,-20.20228501,13.21607966,-143.8100084,-79.83039988,19.513857,19.981636,18.705614,1.276022,0.46777916,0.8082428,15.11937013,64.88297186,13.84671202,4.726027085,0
Gaia DR2 1801239297453428992,J214127.98+283448.7,658763399,325.3665859,28.58019156,14.78539758,-60.41545353,-105.8388915,17.471357,17.587269,17.20329,0.3839779,0.115911484,0.2680664,13.32052238,42.2687797,0.694514674,-4.141377027,0
Gaia DR2 5578736014371090944,J070322.92-365819.2,206462849,105.8454641,-35.02801001,11.39691412,43.39659568,-85.45127251,18.131613,18.234426,17.804634,0.4297924,0.10281372,0.32697868,13.41554916,42.17654742,-6.046576913,8.325755854,0
Gaia DR2 763893885310438784,J111425.18+380820.8,935298903,168.6049442,38.13906829,12.75879655,-121.8819955,-28.43887616,16.490091,16.50999,16.431913,0.07807732,0.019899368,0.058177948,12.01913989,-30.01948505,-14.66867453,-8.550860742,0
Gaia DR2 926002203218885504,J074725.75+440846.0,1610338721,116.8572869,44.14604551,26.08362428,-87.81463782,-165.0544718,14.930245,14.863587,15.013537,-0.14995003,-0.06665802,-0.08329201,12.01208412,-6.426705921,-14.60637874,-12.59976819,0
Gaia DR2 308651262017484544,J012208.33+281758.9,344610932,20.53469056,28.29967597,15.38833509,47.48330343,-187.8569117,18.949324,19.445562,18.239054,1.2065086,0.4962387,0.7102699,14.88528183,9.154934056,-27.67707177,-39.19476043,0
Gaia DR2 6783599749645158400,J211737.13-342013.9,508071111,319.4047336,-33.66281915,11.09625128,-13.47801387,-119.2512486,19.323126,19.784311,18.798355,0.9859562,0.46118546,0.52477074,14.54900725,15.66726006,-39.75089842,6.247503986,0
Gaia DR2 4546758830312486400,J170930.12+154139.8,1538646827,257.375532,15.69440326,23.01265226,83.95201259,-157.5081017,17.493301,17.69429,17.028877,0.6654129,0.20098877,0.46442413,14.30313477,31.07481837,0.148588962,-18.27645797,0
